05/11/15,DATE.,PARTY NAME,PARTY MOULD NO.,MOULD DETAIL,CAVITY,TYPE'S OF MOULD,PART NAME,DWG.NO.,CHALLAN NO.,DIS.DATE,,
237,23.6.2013,SUJIT MECHANICAL WORKS,,NEW,1,MANUAL,,,19,29.6.2013,,
238,25.6.2013,GANESH DIE,1370,NEW,1,MANAUL,OILING STREEP,,23,1.7.2013,,
239,27.6.2013,AMTECH CASTING,1273,NEW,4,AUTOMATIC,"BODY CASTING 1/2"" 3.1",A2/6017001,22,30.6.2013,,
240,27.6.2013,AMTECH CASTING,1274,NEW,4,AUTOMATIC,"BODY CASTING 3/4"" 3.1",A2/6017101,28,8.7.2013,,
241,27.6.2013,AMTECH CASTING,1275,NEW,4,AUTOMATIC,"BODY CASTING 1"" 3.1",A2/6017201,52,21.7.2013,,
242,28.6.2013,GANESH DIE,,GATE WORK,1,MANUAL,,,20,29.6.2013,,
243,28.6.2013,GANESH DIE,2354,NEW,2,MANUAL,,,24,1.7.2013,,
244,28.6.2013,GANESH DIE,2355,NEW,2,MANUAL,,,24,1.7.2013,,
245,25.6.2013,AMTECH CASTING,1721,REWORK,1,MANUAL,1 1/4 BODY CASTING,A2/1631401,32,12.7.2013,,
246,27.6.2013,AMTECH CASTING,1722,REWORK,1,MANUAL,"1"" 1/2 BODY CASTING",A2/1631501,32,12.7.2013,,
247,27.6.2013,AMTECH CASTING,1723,REWORK,1,MANUAL,"1"" BODY CASTING",A2/1631301,32,12.7.2013,,
248,27.6.2013,AMTECH CASTING,1724,REWORK,1,MANUAL,"2"" BODY CASTING ",A2/1631601,32,12.7.2013,,
249,1.7.2013,PARTH ENGINEERING,HVBV413,NEW,2,MANUAL,LEVER-INV CAST M22 X 350,5010704,27,5.7.2013,,
250,1.7.2013,PARTH ENGINEERING,HVBV418,NEW,2,MANUAL,LEVER-INV CAST DIA28 X 350,5010709,27,5.7.2013,,
251,1.7.2013,LINIT TECHNOLOGI,,NEW,1,MANUAL,,8-SZ-3360640141,39,16.7.2013,,
252,1.7.2013,HI-CON,H-3486,LETTER PIN WORK,1,AUTOMATIC,,,26,5.7.2013,,
253,2.7.2013,AMTECH CASTING,1557,REWORK,2,MANUAL,SUCTION DL80,,40,16.7.2013,,
254,2.7.2013,AMTECH CASTING,1558,REWORK,2,MANUAL,DISCHARGE  DL80,,40,16.7.2013,,
255,2.7.2013,AMTECH CASTING,1554,REWORK,2,AUTOMATIC,SUCTION DL50,,40,16.7.2013,,
256,2.7.2013,AMTECH CASTING,1555,REWORK,2,AUTOMATIC,DISCHARGE DL50,,40,16.7.2013,,
257,2.7.2013,AMTECH CASTING,1451,REWORK,2,AUTOMATIC,,,54,22.7.2013,,
258,2.7.2013,AMTECH CASTING,1452,REWORK,2,AUTOMATIC,,,54,22.7.2013,,
259,7.7.2013,CHEMITEK,,NEW,1,MANUAL,,,50,20.7.2013,,
260,7.7.2013,INTOL CAST,3840A and 4483A,NEW,2,MANUAL,,,33,12.7.2013,,
261,7.7.2013,SUJIT MECHANICAL WORKS,,NEW,1,MANUAL,,76-7,36,14.7.2013,,
262,7.7.2013,SUJIT MECHANICAL WORKS,,NEW,,,,,37,14.7.2013,,
263,13.7.2013,HI-CON,H-3481,GATE WORK,1,MANUAL,,,,20.7.2013,,
264,13.7.2013,HI-CON,H-3487,GATE WORK,1,MANUAL,,,,20.7.2013,,
265,15.7.2013,HI-CON,,NEW,1,MANUAL,TAPA GATE,CHINTANBHAI,41,16.7.2013,,
266,15.7.2013,HI-CON,,NEW,8,AUTOMATIC,ROTEX,CHINTANBHAI,45,19.7.2013,,
267,16.7.2013,GANESH DIE,5151,REWORK,3,MANUAL,383,,46,20.7.2013,,
268,16.7.2013,AMTECH CASTING,1991,NEW,2,AUTOMATIC,Compressor Tempon Druckstuck,0801-9244,,21.7.2013,,
269,16.7.2013,AMTECH CASTING,1992,NEW,2,AUTOMATIC,Compressor Tempon Druckstuck,0801-9245,,20.7.2013,,
270,17.7.2013,DHARPAT CASTING,,NEW,1,MANUAL,CASING-A61    3x2-8-GP2,DT46069AA,71,2.8.2013,,
271,21.7.2013,INTOL CAST,3875-3876A,NEW,,AUTOMATIC,RUNNER,,58,25.7.2013,,
272,21.7.2013,MINA,,NEW,,,PATA and Rould Picese,,95,13.8.2013,,
273,23.7.2013,VISHAL BHAI,,NEW,,,JUICER,Die Reject,,13.8.2013,,
274,23.7.2013,INTOL CAST,2908A,REWORK,4,AUTOMATIC,,,59,25.7.2013,,
275,26.7.2013,OM ENGINEERING,5843,REWORK,,,PCD HOLE,HITESHBHAI,61,26.7.2013,,
276,27.7.2013,GANESH DIE,,NEW,,MANUAL,,,69,30.7.2013,,
277,28.7.2013,MINA,,NEW,3,,ANODE 3 Nos,,70,1.8.2013,,
278,29.7.2013,HI-CON,3237,GATE WORK,1,MANUAL,,CHINTANBHAI,80,6.8.2013,,
279,30.7.2013,ALKA INDUSTRIES,,NEW,,AUTOMATIC,GATE DIE,,72,4.8.2013,,
280,1.7.2013,INTOL CAST,5394A,CORRECTION,4,MANUAL,,,228,6.9.2013,,
281,3.8.2013,HI-CON,,NEW,,Gauge,,,78,5.8.2013,,
282,3.8.2013,AMTECH CASTING,1548,CORRECTION,1,,SUCTION MANIFOLD DL25-SA,1125-6104,73,4.8.2013,,
283,3.8.2013,AMTECH CASTING,1549,CORRECTION,1,,DISCHARGE MANIFOLD DL25-SA,1125-6204,73,4.8.2013,,
284,3.8.2013,AMTECH CASTING,1551,CORRECTION,1,,SUCTION MANIFOLD DL40-SA,1140-6102,73,4.8.2013,,
285,3.8.2013,AMTECH CASTING,1552,CORRECTION,1,,DISCHARGE MANIFOLD DL40-SA,1140-6204,73,4.8.2013,,
286,3.8.2013,AMTECH CASTING,1554,CORRECTION,1,,SUCTION MANIFOLD DL50-SA,1150-6104,73,4.8.2013,,
287,3.8.2013,AMTECH CASTING,1555,CORRECTION,1,,DISCHARGE MANIFOLD DL50-SA,1150-6204,73,4.8.2013,,
288,3.8.2013,AMTECH CASTING,1557,CORRECTION,1,,SUCTION MANIFOLD DL80-SA,1180-6111,73,4.8.2013,,
289,3.8.2013,AMTECH CASTING,1558,CORRECTION,1,,DISCHARGE MANIFOLD DL-80-SA,1180-6210,73,4.8.2013,,
290,4.8.2013,ALKA INDUSTRIES,514,CORRECTION,4,,IMPERAL,,75,4.8.2013,,
300,4.8.2013,ALKA INDUSTRIES,565,CORRECTION,4,,IMPERAL,,76,4.8.2013,,
301,4.8.2013,ALKA INDUSTRIES,,NEW,1,,RUNNER,,74,4.8.2013,,
302,4.8.2013,HI-CON,,NEW,,,Attach 2 Plate,CHINTANBHAI,81,6.8.2013,,
303,5.8.2013,HI-CON,,NEW,1,AUTOMATIC,BODY,,89,13.8.2013,,
304,6.8.2013,HI-CON,,NEW,4,AUTOMATIC,,Runner Die,90,13.8.2013,,
305,8.8.2013,INTOL CAST,4585A,CORRECTION,1,MANUAL,IMPERAL,1 Gate Closes and Make Center Pin,84,10.8.2013,,
306,8.8.2013,INTOL CAST,4586A,CORRECTION,1,MANUAL,IMPERAL,1 Gate Closes and Make CenterPin,85,10.8.2013,,
307,8.8.2013,HI-CON,,NEW,,,GAUGE,26 Gauge,243/241,13.9.2013,,
308,11.8.2013,HI-CON,3942/3943,NEW,,,GAUGE 4 Nos.,,88,11.8.2013,,
309,10.8.2013,INTOL CAST,5964A,NEW,2,MANUAL,"Rough bottom body DN-40 /1-1/2""",10.210.02.0052,215,2.9.2013,,
310,10.8.2013,INTOL CAST,5965A,NEW,2,MANUAL,"Rough interchangeable body DN-50/2""",10.210.02.0053,216,2.9.2013,,
311,10.8.2013,INTOL CAST,5966A,NEW,2,MANUAL,"Rough bottom body DN-50/2""",10.210.02.0055,214,2.9.2013,,
312,10.8.2013,INTOL CAST,5972A,NEW,1,MANUAL,"Rough bottom body DN-100/4""",10.210.02.0064,250,16.9.2013,,
313,10.8.2013,INTOL CAST,5971A,NEW,1,MANUAL,"Rough Interchngeable Body DN-100/4""",10.210.02.0062,217,3.9.2013,,
314,10.8.2013,INTOL CAST,5963A,NEW,2,MANUAL,"Rough interchangeable body DN-40/1-1/2""",10.210.02.0050,213,2.9.2013,,
315,10.8.2013,INTOL CAST,4807A,REWORK,,,2-Gate Closes,,91,13.8.2013,,
316,10.8.2013,INTOL CAST,4808A,REWORK,,,2-Gate Closes,,92,13.8.2013,,
317,10.8.2013,INTOL CAST,4809A,REWORK,,,4-Gate Closes,,93,13.8.2013,,
318,12.8.2013,INTOL CAST,4806A,GATE WORK,1,MANUAL,IMPERAL,1 Gate Closes and Make Center Pin,97,16.8.2013,,
319,16.8.2013,INTOL CAST,5973A,NEW,2,MANUAL,LANTERNA DN-25 N/K,351298 Rev-A,244,13.9.2013,,
320,16.8.2013,INTOL CAST,5974A,NEW,2,MANUAL,LANTERNA DN-40 N/K,351299 Rev-A,245,13.9.2013,,
321,16.8.2013,INTOL CAST,5975A,NEW,2,MANUAL,LANTERN DN-50 N/K,351300 Rev-A,246,13.9.2013,,
322,16.8.2013,INTOL CAST,5976A,NEW,1,MANUAL,LANTERNA DN-65 N/K,351301 Rev-A,247,13.9.2013,,
324,16.8.2013 ,INTOL CAST,5977A,NEW,1,MANUAL,LANTERNA DN-80 N/K,351302 Rev-A,248,13.9.2013,,
325,16.8.2013,INTOL CAST,3580/3581,NEW,1,MANUAL,"1""X1_"" Vertical Grid",Runner Plate,231,7.9.2013,,
326,17.8.2013,JAIVEL SYNERGIES ,M00853-07,PART,2,, End Support(97),,98,17.8.2013,,
327,18.8.2013,GANESH DIE,,NEW,1,MANUAL,BRUSH HOLDR HOUSING ,LW71238,100,22.8.2013,,
328,20.8.2013,INTOL CAST,4982A/5011A TEE,NEW,1,MANUAL,,Runeer Plate,231,13.9.2013,,
329,23.8.2013,AMTECH CASTING,612,CORRECTION,1,MANUAL,,,204,24.8.2013,,
330,23.8.2013,INTOL CAST,3869A,NEW,4,MANUAL,GATE DIE,,220,3.9.2013,,
331,23.8.2013,INTOL CAST,4994A,NEW,2,MANUAL,GATE DIE,,219,3.9.2013,,
332,23.8.2013,PARIMAL TECHNOCAST,,NEW,1,MANUAL,COPPER,,210,25.8.2013,,
333,24.8.2013,HI-CON,H-2254,CORRECTION,1,MANUAL,,CHINTANBHAI,208,24.8.2013,,
334,25.8.2013,HI-CON,3998,NEW,2,MANUAL, CHILL DIE DESIGN ,,212,1.9.2013,,
335,31.8.2013,INTOL CAST,3822A,NEW,4,MANUAL,GATE DIE,,218,3.9.2013,,
336,31.8.2013,INTOL CAST,5409A,CORRECTION,6,AUTOMATIC,"por feed/concentraie 1-1/2""",98024 Rev-L.1,224,5.9.2013,,
337,31.8.2013,INTOL CAST,5410A,CORRECTION,6,AUTOMATIC,"pro feed/concentraie 2""",98025 Rev-K.1,222,3.9.2013,,
338,31.8.2013,INTOL CAST,5411A,CORRECTION,4,AUTOMATIC,"pro feed/concentraie 2-1/2""",98026 Rev-H.1,223,3.9.2013,,
339,31.8.2013,INTOL CAST,5412A,CORRECTION,2,AUTOMATIC,"Port F/C 4"" Threaded 80U",96266 Rev-D.1,226,5.9.2013,,
340,31.8.2013,INTOL CAST,4880A and 4883A,CORRECTION,4,AUTOMATIC,0.90mm cut,,205/206,24.8.2013,,
341,31.8.2013,INTOL CAST,,NEW,,,Multiple Size Base Runner,Runner Die,225,5.9.2013,,
342,31.8.2013,INTOL CAST,4225A,REWORK,4,AUTOMATIC,,,236,9.9.2013,,
343,31.8.2013,INTOL CAST,4226A,REWORK,4,AUTOMATIC,,,237,9.9.2013,,
344,31.8.2013,INTOL CAST,4227A,REWORK,4,AUTOMATIC,,,238,9.9.2013,,
345,31.8.2013,JAIVEL SYNERGIES,M00853-08-09,Base & Suppoer,,,M853-08-09/M853-31-32/M853-31-33,,201,23.8.2013,,
346,31.8.2013,JAIVEL SYNERGIES,M0079-01,Main Housing,,,M790-1/M854-04-05/M854-12-13,,202/211,26.8.2013,,
347,31.8.2013,JAIVEL SYNERGIES,M00862-03-4,,,,M862-03-04/M862-05/M862-06-07/M862-8-9,,230,6.9.2013,,
348,5.9.2013,KHODIYA INDUSTRIES,NEW ,,,,PCD HOLE,4 Plate (Mo-8401573744),229,6.9.2013,,
349,1.9.2013,ALKA INDUSTRIES,NEW ,,,,IMPLERIAL LAG,,231,6.9.2013,,
350,6.9.2013,HIRENBHAI,NEW ,,,,,,239,10.9.2013,,
351,8.9.2013,GANESH DIE,NEW ,,,,,,235,9.9.2013,,
352,8.9.2013,JAIVEL SYNERGIES,NEW ,,4,,Tennon 4 Nos,,234,9.9.2013,,
353,10.9.2013,SANJIVANI CASTING,4037,NEW,1,MANUAL,131369_SAG_P17A_4037,,264,24.9.2013,,
354,10.9.2013,SANJIVANI CASTING,4038,NEW,1,MANUAL,131452_DRS_P17A_4038,,265,24.9.2013,,
355,12.9.2013,ICE BURG TECHNOCAST,,CORRECTION,2,MANUAL,,,242,12.9.2013,,
356,15.9.2013,Metri Casting,,NEW,1,MANAUL,Concealed Body,,259,23.9.2013,,
357,15.9.2013,Nova Technocast,,NEW,1,FIXTURE,BOKELA (FILTER SEGMENT BELL),7110/1212,258,21.9.2013,,
358,15.9.2013,RM Pattern,,,1,,WP-IMPELLER,WK-914-02,274,1.10.2013,,
359,18.9.2013,MARUTI TECHNO,,NEW,3,PATTERN,3 Nos with 1 nos copper,,263,24.9.2013,,
360,22.9.2013,SOLAR TECHNOCAST,,NEW,,, Die No. 5281 / 5282 / 5283 / 5284,,,,,
361,22.9.2013,SOLAR TECHNOCAST,,NEW,,,,,,,,
362,22.9.2013,GENEX,,NEW,,,MANUBAPA,Ex-Die-1/ Flange/ trinity_split,261,23.9.2013,,
363,22.9.2013,INTOL CAST,5534A,CORRECTION,1,MANUAL,,,262,24.9.2013,,
364,28.9.2013,ALKA INDUSTRIES,,Runner,2,,Runner Plate,,269,28.9.2013,,
365,28.9.2013,MARUTI TECHNO,,NEW,2,PATTERN,,,271,29.9.2013,,
366,28.9.2013,BATUKBHAI,,REWORK,,,2 Die Rework,,267,28.9.2013,,
367,28.9.2013,PARIMAL TECHNOCAST, ,NEW,1,PATTERN,IMPERAL,,251,19.9.2013,,
368,28.9.2013,CHHAYAN INDUSTRIES,,NEW,1,,Profile Turning,,272,30.9.2013,,
369,30.9.2013,GANESH DIE,1009,REWORK,2,,,,275,3.10.2013,,
370,1.10.2013,SOLAR TECHNOCAST,,NEW,,,,,,,,
371,1.10.2013,SOLAR TECHNOCAST,,NEW,,,,,,,,
372,1.10.2013,SOLAR TECHNOCAST,,NEW,,,,,,,,
373,1.10.2013,SOLAR TECHNOCAST,,NEW,,,,,,,,
374,1.10.2013,SOLAR TECHNOCAST,,NEW,,,,,,,,
375,1.10.2013,SOLAR TECHNOCAST,,NEW,,,,,,,,
376,1.10.2013,SOLAR TECHNOCAST,,NEW,,,,,,,,
377,1.10.2013,SOLAR TECHNOCAST,,NEW,,,,,,,,
378,6.10.2013,SOLAR TECHNOCAST,,NEW,,,,,,,,
379,6.10.2013,GANESH DIE,2416,NEW,1,MANUAL,,272K-1-1877(M1),280,10.7.2013,,
380,7.10.2013,CHEMITEK,,NEW,1,MANUAL,SEAL COVER TYPE-6,,282,10.10.2013,,
381,7.10.2013,CHEMITEK,,NEW,,MANUAL,,,283,10.10.2013,,
382,7.10.2013,KHODIYA INDUSTRIES,,NEW,,,PCD HOLE,4 PLATE,276,4.10.2013,,
383,7.10.2013,LINIT TECHNOLOGI,,NEW,1,MANUAL,Schleibwand,8-SZ-3369450141,285,12.10.2013,,
384,7.10.2013,LINIT TECHNOLOGI,,NEW,1,MANUAL,Gehausedeckel packung,8-SZ-3369460141,285,12.10.2013,,
385,7.10.2013,LINIT TECHNOLOGI,,NEW,1,MANUAL,Hinterer Einsatz,8-AND-3370230141,298,17.10.2013,,
386,7.10.2013,AMTECH CASTING,2066,NEW,1,MANUAL,TOPO,,291,15.10.2013,,
387,8.10.2013,INTOL CAST,4978A,NEW,2,MANUAL,,,292,15.10.2013,,
388,8.10.2013,INTOL CAST,4979A,NEW,2,MANUAL,,,293,15.10.2013,,
389,11.10.2013,JAIVEL SYNERGIES ,,NEW,1,PATTERN,,M00895-Loose Core Box-Top&Btm,288,13.10.2013,,
390,11.10.2013,JAIVEL SYNERGIES,,NEW,2,PATTERN,,M00895-Main Core Box-Btm,288,13.10.2013,,
391,11.10.2013,JAIVEL SYNERGIES,,NEW,2,PATTERN,,M00895-Pattern-1,288,13.10.2013,,
392,12.10.2013,KRISHNA ENTERPRICE,,NEW,4,FIXTURE,NOVA,10727/10729/10730/I0730,287,13.10.2013,,
393,12.10.2013,DHARPAT CASTING,,NEW,5,PATTERN,,C3280694,290,15.10.2013,,
394,14.10.2013,HIRENBHAI,,NEW,1,MANUAL,,,,,,
395,14.10.2013,GANESH DIE,2418-2418A,NEW,2,MANUAL,,,296,15.10.2013,,
396,14.10.2013,GANESH DIE,2417,NEW,2,MANUAL,,,297,15.10.2013,,
397,15.10.2013,GANESH DIE,2393,NEW,1,MANUAL,,,299,20.10.2013,,
398,16.10.2013,,,,,,,,,,,
400,16.10.2013,GANESH DIE,2419A,NEW,2,MANUAL,,,299,20.10.2013,,
401,16.10.2013,,,,,,,,,,,
402,16.10.2013,KRISHNA ENTERPRICE,,NEW,1,MANUAL,FIXTURE NOVA,,,,,
403,20.10.2013,SANDORI CASTING,4132,NEW,1,MANUAL,,,305,29.10.2013,,
404,20.10.2013,SANDORI CASTING,4133,NEW,1,MANUAL,,,301,25.10.2013,,
406,20.10.2013,SANDORI CASTING,4134,NEW,1,MANUAL,,,306,29.10.2013,,
407,20.10.2013,SANDORI CASTING,4137,NEW,1,MANUAL,,,307,29.10.2013,,
408,20.10.2013,SANDORI CASTING,4138,NEW,1,MANUAL,,,302,25.10.2013,,
409,25.10.2013,HI-CON,4001,NEW,4,MANUAL,GAUGES,4CASTING GAUGE,304,28.10.2013,,
410,25.10.2013,INTOL CAST,5982A,RIB WORK,1,MANUAL,,,303,27.10.2013,,
411,25.10.2013,ALKA INDUSTRIES,64,REWORK,4,AUTOMATIC,,,154,21.10.2013,,
412,30.10.2013,ATUL PRECISION CAST,,NEW,1,,,,312,12.11.2013,,
413,30.10.2013,ATUL PRECISION CAST,,NEW,4,,,,312,12.11.2013,,
414,31.10.2013,SHREE HARI INDUSTRIES,,NEW,13,,1 Fixture PCD HOLE,111363,,,,
415,31.10.2013,SHREE HARI INDUSTRIES,,NEW,13,,PCD HOLE,111278,,,,
416,6.11.2013,AMTECH CASTING,,NEW,10,AUTOMATIC,TREEGAR,,320,25.11.2013,,
417,10.11.2013,AMTECH CASTING,1243,REWORK,1,MANUAL,"BODY CASTING 2""",A1/1697101,316,19.11.2013,,
418,10.11.2013,AMTECH CASTING,1244,REWORK,1,MANUAL,"BODY CASTING 1 1/4""",A1/1696801,316,19.11.2013,,
419,10.11.2013,AMTECH CASTING,1245,REWORK,1,MANUAL,"BODY CASTING 1 1/2""",A1/1696801,316,19.11.2013,,
420,16.11.2013,AMTECH CASTING,1314,REWORK,1,AUTOMATIC,DN25 BODY CASTING,A2/6018001,326,2.12.2013,,
421,16.11.2013,AMTECH CASTING,1318,REWORK,1,AUTOMATIC,DN50 BODY CASTING,A2/6018301,326,2.12.2013,,
422,16.11.2013,AMTECH CASTING,1320,REWORK,1,AUTOMATIC,DN80 BODY CASTING,A2/6018401,326,2.12.2013,,
423,17.11.2013,HI-CON,4064,NEW,1,MANUAL,DISC CHILL MODEL,,317,21.11.2013,,
424,17.11.2013,SHREE HARI INDUSTRIES,,NEW,12,,PCD HOLE,111601,,,,
425,17.11.2013,OMEGA TECHNOCAST,,CORRECTION,4,MANUAL,CON DIES ,,315,18.11.2011,,
426,18.11.2013,SHREE HARI INDUSTRIES,,NEW,12,,PCD HOLE,111407,,,,
427,19.1.2013,SHREE HARI INDUSTRIES,,NEW,11,,PCD HOLE PCD ¯244 At ¯10.2 Hole 8Nos,111281,,,,
428,25.11.2013,SOLAR TECHNOCAST,,NEW,9,MANUAL,,,,,,
429,29.11.2013,HI-CON,3077,CORRECTION,2,MANUAL,,,325,1.12.2013,,
430,29.11.2013,ATUL PRECISION CAST,,,,,,,,,,
431,1.12.2013,PMT,,,,,FIXTURE  ,,N/A,,,
432,1.12.2013,PMT,,NEW,1,,,,341,17.12.2013,,
433,1.12.2013,PMT,,NEW,1,,,,341,17.12.2013,,
434,1.12.2013,PMT,,NEW,1,,,,341,17.12.2013,,
435,1.12.2013,TECHNO FINISH,,NEW,8,,,,341,17.12.2013,,
436,1.12.2013,SHREE HARI INDUSTRIES,,NEW,6,,,,,,,
437,3.12.2013,KRISHNA ENTERPRICE,,,,,FIXURE 5 (I0727),,328,3.12.2013,,
438,3.12.2013,ATAM VALVE,,NEW,2,MANUAL,,50x80 safety valve,331,8.12.2013,,
439,3.12.2013,ATAM VALVE,,NEW,2,MANUAL,,50x80 safety valve,332,8.12.2013,,
440,5.12.2013,HI-CON,H-2036,REWORK,1,MANUAL,650 CBV GLAND CASTING,VASS-C-2445,330,8.12.2013,,
441,5.12.2013,PARIMAL TECHNOCAST,,NEW,1,MANUAL,,,335,8.12.2013,,
442,7.12.2013,MAVNI PLASTIC,,NEW,,,Dhamela Die and other die and logo,BHARAT BHAI GONDAL,324,30.11.2013,,
443,8.12.2013,KRISHNA ENTERPRICE,,NEW,3,MANUAL,FIXTURE,I0525,334,8.12.2013,,
444,9.12.2013,KRISHNA ENTERPRICE,,NEW,2,MANUAL,FIXURE  ,,337,8.12.2013,,
445,11.12.2013,INTOL CAST,6059A,NEW,1,MANUAL,"INTERMEDIATE HOUSING 1 SOCKET DN3""",10.241.02.0017,347,26.12.2013,,
446,11.12.2013,INTOL CAST,6060A,NEW,1,MANUAL,"INTERMEDIATE HOUSING 1 SOCKET DN4""",10.241.02.0021,348,27.12.2013,,
447,11.12.2013,INTOL CAST,6061A,NEW,1,MANUAL,"INTERMEDIATE ANGULAR HOUSING 1 SCOKET DN4""",10.240.02.0021,349,27.12.2013,,
448,11.12.2013,INTOL CAST,6062A,NEW,1,MANUAL,INTERMEDIATE HOUSING 1 SOCKET DN100,10.241.02.0022,360,4.1.2014,,
449,11.12.2013,INTOL CAST,6063A,NEW,1,MANUAL,INTERMEDIATE ANGULAR HOUSING 1 SCOKET DN100,10.240.02.0022,356,30.12.2013,,
450,11.12.2013,BHAVIK VIRADIYA,BV-01 to BV-06,NEW,,MANUAL,"DIE 6 Nos,",,N/A,,,
451,13.12.2013,PARIMAL TECHNOCAST,,NEW,4,MANUAL,,,342,17.12.2013,,
452,12.12.2013,INTOL CAST,6139A,NEW,1,MANUAL,GEHAUSE/BODY HP114-C DN150 LUG TYPE K2,HP2C-150-0014-00,357,30.12.2013,,
453,12.12.2013,AMTECH CASTING,1283,REWORK,1,MANUAL,,783328,,,,
454,12.12.2013,SHREE HARI INDUSTRIES,,NEW,2,,  ,110217,,,,
455,21.12.2013,SANDORI CASTING,4167,NEW,1,MANUAL,"PRECISION  CASTING GUIDE 10""x12""",35-0373-02,346,26.12.2013,,
456,21.12.2013,ATUL PRECISION CAST,,NEW,1,PATTERN,IMPELLER 1st STAGE,2CP10515,343,21.12.2013,,
457,21.12.2013,ATUL PRECISION CAST,,NEW,1,PATTERN,IMPELLER 2st STAGE,2CP10516,343,21.12.2013,,
458,22.12.2013,AMTECH CASTING,2160,NEW,4,MANUAL,SPIRATROL CONTRO VALVE,A3/3740317,345,23.12.2013,,
459,23.12.2013,SANDORI CASTING,4157,NEW,8,AUTOMATIC,PLUG SHELL FRONT,505681BB,358,31.12.2013,,
460,23.12.2013,MADHUBHAI,,NEW,,AUTOMATIC,DIE PLASTIC MOULD 4 DIE,,N/A,,,
461,26.12.2013,OMEGA TECHNOCAST,2742,GATEWORK,2,MANUAL,,,350,27.12.2013,,
462,27.12.2013,NIKOO PRESION CAST,,NEW,10,MANUAL,CHILL DIE,2mm,352,28.12.2013,,
463,27.12.2013,NIKOO PRESION CAST,,NEW,10,MANUAL,CHILL DIE,3mm,352,28.12.2013,,
464,27.12.2013,NIKOO PRESION CAST,,NEW,10,MANUAL,CHILL DIE,5mm,352,28.12.2013,,
465,27.12.2013,NIKOO PRESION CAST,,NEW,10,MANUAL,CHILL DIE,10mm,352,28.12.2013,,
466,27.12.2013,NIKOO PRESION CAST,,NEW,2,MANUAL,Inpex Test Bar,,352,28.12.2013,,
467,27.12.2013,NIKOO PRESION CAST,,NEW,,,RUNNER DIE TRIANGULAR,3,353,28.12.2013,,
468,27.12.2013,NIKOO PRESION CAST,,NEW,,,RUNNER DIE SQURE,14,353,28.12.2013,,
469,27.12.2013,NIKOO PRESION CAST,,NEW,3,MANUAL,RUNNER AND TEST BAR DIE,,354,28.12.2013,,
470,28.12.2013,SOLAR TECHNOCAST,,NEW,1,AUTOMATIC,Ring Die  (PAVAN INDUSTRIES),,231,30.12.2013,,
471,28.12.2013,OM ENGINEERING,6136A,NEW,,,Anode 1 Finish and 1 Rough,,N/A,,,
472,28.12.2013,AMTECH CASTING,1734,REWORK,1,,,,,,,
473,29.12.2013,NIKOO PRESION CAST,,NEW,4,MANUAL,"1"" SEAT CLAMP 1.375 SEAT LOCATION 5000 SERIES",120799,359,1.1.2014,,
475,29.12.2013,NIKOO PRESION CAST,,NEW,4,MANUAL,"1"" SEAT CLAMP 1.25SEAT LOCATION 5000 SERIES",120919,359,1.1.2014,,
476,30.12.2013,NIKOO PRESION CAST,,NEW,4,MANUAL,SMALL CUP,,359,1.1.2014,,
477,30.12.2013,NIKOO PRESION CAST,,NEW,2,MANUAL,BIG CUP,,359,1.1.2014,,
478,28.12.2013,REAL WIRE CUT,,NEW,2,,IMPELLAR (MANISHBHAI),71012,N/A,,,
479,2.1.2014,OMEGA TECHNOCAST,,NEW,,AUTOMATIC,RUNNER WITH CUP,,362,6.1.2013,,
480,4.1.2014,SILVER COINE,,NEW,,,3 Round,,363,6.1.2013,,
481,5.1.2014,ALKA INDUSTRIES,,NEW,1,MANUAL,CUP DIE,,,,,
482,6.1.2014,NIKOO PRESION CAST,,NEW,,,Runner Plate and ,,364,7.1.2014,,
483,7.1.2014,AMTECH CASTING,,REWORK,1,MANUAL,,,,,,
484,8.1.2014,HI-CON,H-1543,REWORK,1,MANUAL,"400mm 16"" GLAND CASTING",VASS-C-1869,,,,
485,8.1.2014,HI-CON,H-1544,REWORK,1,MANUAL,450mm GLAND CASTING,VASS-C-1793,,,,
486,8.1.2014,HI-CON,H-1542,REWORK,1,MANUAL,"350mm 14"" GLAND CASTING",VASS-C-2149,,,,
487,8.1.2014,HI-CON,H-1546,REWORK,1,MANUAL,"600mm 24"" GLAND CASTING",VASS-C-2269,,,,
488,10.1.2014,INTOL CAST,2364A,REWORK,1,MANUAL,BODY 20mm (3/4in) RP,F110D101(1),,,,
489,10.1.2014,INTOL CAST,2536A,REWORK,1,MANUAL,BODY 20mm (3/4in) RP,F130D101(1),,,,
490,10.1.2014,INTOL CAST,2542A,REWORK,1,MANUAL,BODY 25mm (1in)FB,F2301101(1),,,,
491,10.1.2014,INTOL CAST,2540A,REWORK,1,MANUAL,BODY 25mm (1in)FB,F13001101(1),,,,
492,10.1.2014,INTOL CAST,2362A,REWORK,1,MANUAL,BODY 15mm (1/2in)FB,F210C101(1),,,,
493,10.1.2014,INTOL CAST,2534A,REWORK,1,MANUAL,BODY 15mm (1/2in)FB,F230C101(I),,,,
494,,INTOL CAST,2364A/2536A/2542A/2540A/2362A/2534A,ALL LOOS PIN,1,MANUAL,"""","""",,,,
495,10.1.2014,PARIMAL TECHNOCAST,,,4,MANUAL,,,,,,
496,10.1.2014,PARIMAL TECHNOCAST,,,4,MANUAL,,,,,,
